import time: self [us] | cumulative | imported package
import time:       592 |        592 |                         pdfminer.arcfour
import time:      1050 |       1050 |                           pdfminer.pdfparser
import time:       633 |       1682 |                         pdfminer.data_structures
import time:      2634 |      42238 |                       pdfminer.pdfdocument
import time:       970 |      43207 |                     pdfminer.pdfpage
import time:      1111 |      44317 |                   pdfminer.pdfdevice
import time:      2156 |      46473 |                 pdfminer.pdfinterp
import time:      3127 |      89587 |               pdfminer.layout
import time:       935 |      91673 |             pdfminer.image
import time:      2121 |      96812 |           pdfminer.converter
import time:      1062 |      97874 |         pdfminer.high_level
import time:       807 |        807 |               pdfplumber._typing
import time:       785 |       1592 |             pdfplumber.utils.clustering
import time:       454 |        454 |             pdfplumber.utils.generic
import time:       781 |        781 |             pdfplumber.utils.geometry
import time:       518 |        518 |               pdfplumber.utils.exceptions
import time:       556 |       1073 |             pdfplumber.utils.pdfinternals
import time:      1855 |       1855 |             pdfplumber.utils.text
import time:      1046 |       6800 |           pdfplumber.utils
import time:       530 |        530 |           pdfplumber._version
import time:      4995 |       4995 |                 _csv
import time:      1225 |       6219 |               csv
import time:       724 |        724 |               pdfplumber.convert
import time:      1008 |       7950 |             pdfplumber.container
import time:      3549 |       3549 |               pdfplumber.structure
import time:      4748 |       4748 |               pdfplumber.table
import time:      1785 |      10080 |             pdfplumber.page
import time:      1765 |       1765 |                 signal
import time:       275 |        275 |                 msvcrt
import time:      5745 |       5745 |                 _posixsubprocess
import time:      1949 |       1949 |                 selectors
import time:      2131 |      11862 |               subprocess
import time:       806 |      12668 |             pdfplumber.repair
import time:      1376 |      32072 |           pdfplumber.pdf
import time:       994 |      40395 |         pdfplumber
import time:      1105 |     145527 |       markitdown.converters._pdf_converter
import time:       708 |        708 |             markitdown.converter_utils
import time:       870 |       1577 |           markitdown.converter_utils.docx
import time:       439 |        439 |             markitdown.converter_utils.docx.math
import time:        17 |         17 |               _elementtree
import time:      2327 |       2344 |             defusedxml.ElementTree
import time:       706 |        706 |             markitdown.converter_utils.docx.math.latex_dict
import time:      1263 |       4751 |           markitdown.converter_utils.docx.math.omml
import time:      1026 |       7353 |         markitdown.converter_utils.docx.pre_process
import time:       851 |       8203 |       markitdown.converters._docx_converter
import time:       740 |        740 |             dateutil._version
import time:      1039 |       1779 |           dateutil
import time:      1104 |       1104 |               _osx_support
import time:      5560 |       6664 |             pandas.compat._constants
import time:       828 |        828 |                 pandas.util
import time:      5098 |       5926 |               pandas.util.version
import time:      1250 |       7176 |             pandas.compat.numpy
import time:       241 |        241 |               pyarrow
import time:       754 |        995 |             pandas.compat.pyarrow
import time:      1562 |      16394 |           pandas.compat
import time:      7251 |       7251 |                       numpy.random._common
import time:       900 |        900 |                       secrets
